backend,batch,blas,check_ok,compiler,device,device_type,driver,dtype,epoch_act_ms,epoch_biasgrad_ms,epoch_d2h_ms,epoch_delta_ms,epoch_device_total_ms,epoch_gemm_ms,epoch_h2d_ms,epoch_loss_ms,epoch_other_ms,epoch_reg_ms,epoch_update_ms,epoch_wait_ms,epoch_wall_ms,epochs,gflops_gemm,gflops_total,git_bench,git_lib,gpu_energy_j,gpu_power_w,gpu_util_pct,host,id,intensity,iqr_epoch_s,layers,losses_finite,median_epoch_s,mode,n_samples,options,prof_act_ms,prof_batches,prof_biasgrad_ms,prof_bytes_d2h,prof_bytes_h2d,prof_d2h_ms,prof_delta_ms,prof_device_total_ms,prof_epoch_wall_ms,prof_epochs,prof_gemm_ms,prof_h2d_ms,prof_launches,prof_loss_ms,prof_other_ms,prof_reg_ms,prof_unprofiled,prof_update_ms,prof_wait_ms,prof_wall_ms,samples_per_s,seed,steady_epoch_s,steady_samples_per_s,steps_per_s,tag,threads,threads_effective,timestamp,version,workload
cudann,1,cublas,True,nvcc 12.9.86 /usr/local/cuda-12.9/bin/nvcc / host GNU 13.3.0,NVIDIA GeForce GTX 1080 Ti,gpu,13.0,double,27.1703442,0.0,12.864162333333333,0.0,179.71442373333332,129.25786713333335,10.422050066666666,0.0,0.0,0.0,0.0,0.011735733333333333,216.19437273333332,3,9.922086517614755,9.950941867908954,189165a3ebfc25a50f6c29f2ff77fabb0e5ef554,v0.1.0-3-g7ff331c,319.9426502819671,98.00176470588235,50.8235294117647,476ccbc833c5,723f350df650,0.24891601689711,0.003018534994528921,784-512-256-10,True,0.22087328467750922,infer,2048,"{""profile"": true}",407.555163,0,0.0,2457600,192675840,192.962435,0.0,2695.716356,,0,1938.868007,156.330751,215055,0.0,0.0,0.0,0,0.0,0.176036,3242.915591,9272.28479890733,1,,,9272.28479890733,,,16,2026-09-04T01:42:52+00:00,0.1.0,mnist-512-256
cudann,4096,cublas,True,nvcc 12.9.86 /usr/local/cuda-12.9/bin/nvcc / host GNU 13.3.0,NVIDIA GeForce GTX 1080 Ti,gpu,13.0,double,3.5626675199999998,0.0,1.84398872,0.0,506.54485783999996,181.69236863999998,319.44583296,0.0,0.0,0.0,0.0,225.69983531999998,510.8519266,5,78.44880912583781,78.67695346457847,189165a3ebfc25a50f6c29f2ff77fabb0e5ef554,v0.1.0-3-g7ff331c,2131.9912440328617,100.6933,28.17,476ccbc833c5,4d5e69fb4a3a,54.36017272034544,0.005965139192994684,784-512-256-10,True,0.8184292497928254,infer,60000,"{""profile"": true}",89.066688,0,0.0,120000000,9408000000,46.099718,0.0,12663.621446,,0,4542.309216,7986.145824,2650,0.0,0.0,0.0,0,0.0,5642.495883,12771.298165,73311.16283440287,1,,,18.327790708600716,,,16,2026-09-04T01:43:14+00:00,0.1.0,mnist-512-256
cudann,1,cublas,True,nvcc 12.9.86 /usr/local/cuda-12.9/bin/nvcc / host GNU 13.3.0,NVIDIA GeForce GTX 1080 Ti,gpu,13.0,float,19.334436,0.0,11.638389733333334,0.0,179.54077093333333,143.3931632,5.1747819999999995,0.0,0.0,0.0,0.0,0.012084133333333334,215.27274626666667,3,35.046821696201924,35.12430893218711,189165a3ebfc25a50f6c29f2ff77fabb0e5ef554,v0.1.0-3-g7ff331c,346.67130203751753,106.57058823529412,69.0,476ccbc833c5,54e0330737b9,0.49869007705240015,0.005576187337283045,784-1024-1024-10,True,0.21757307233444104,infer,2048,"{""profile"": true}",290.01654,0,0.0,1228800,96337920,174.575846,0.0,2693.111564,,0,2150.897448,77.62173,215055,0.0,0.0,0.0,0,0.0,0.181262,3229.091194,9412.929541445874,1,,,9412.929541445874,,,16,2026-09-04T01:43:19+00:00,0.1.0,mnist
cudann,4096,cublas,True,nvcc 12.9.86 /usr/local/cuda-12.9/bin/nvcc / host GNU 13.3.0,NVIDIA GeForce GTX 1080 Ti,gpu,13.0,float,4.23482496,0.0,0.75914292,0.0,191.18053668000002,22.87293568,163.31363312,0.0,0.0,0.0,0.0,47.217785039999995,193.86444608000002,5,641.5911278487639,643.0096622756676,189165a3ebfc25a50f6c29f2ff77fabb0e5ef554,v0.1.0-3-g7ff331c,784.6124680129243,91.98162790697674,13.604651162790697,476ccbc833c5,db9dde64fc1e,174.16334549536907,0.00896819420158862,784-1024-1024-10,True,0.3481903509935364,infer,60000,"{""profile"": true}",105.870624,0,0.0,60000000,4704000000,18.978573,0.0,4779.513417,,0,571.823392,4082.840828,2650,0.0,0.0,0.0,0,0.0,1180.444626,4846.611152,172319.53679587692,1,,,43.07988419896923,,,16,2026-09-04T01:43:30+00:00,0.1.0,mnist
cudann,1,cublas,True,nvcc 12.9.86 /usr/local/cuda-12.9/bin/nvcc / host GNU 13.3.0,NVIDIA GeForce GTX 1080 Ti,gpu,13.0,double,19.654659666666664,0.0,11.110386266666666,0.0,191.50956846666668,149.9172374,10.827285133333334,0.0,0.0,0.0,0.0,0.0396288,225.16267340000002,3,33.388148344780504,33.46196831488583,189165a3ebfc25a50f6c29f2ff77fabb0e5ef554,v0.1.0-3-g7ff331c,414.110711658512,126.75529411764707,79.82352941176471,476ccbc833c5,63be68e9c6cb,0.24934503852620007,0.0035689283201160438,784-1024-1024-10,True,0.22838177766728526,infer,2048,"{""profile"": true}",294.819895,0,0.0,2457600,192675840,166.655794,0.0,2872.643527,,0,2248.758561,162.409277,215055,0.0,0.0,0.0,0,0.0,0.594432,3377.440101,8967.44048898507,1,,,8967.44048898507,,,16,2026-09-04T01:43:35+00:00,0.1.0,mnist
cudann,4096,cublas,True,nvcc 12.9.86 /usr/local/cuda-12.9/bin/nvcc / host GNU 13.3.0,NVIDIA GeForce GTX 1080 Ti,gpu,13.0,double,8.68651764,0.0,1.8568061599999999,0.0,949.0492153199999,615.74365668,322.76223483999996,0.0,0.0,0.0,0.0,664.87947004,953.32261324,5,178.44308828275527,178.83761939920137,189165a3ebfc25a50f6c29f2ff77fabb0e5ef554,v0.1.0-3-g7ff331c,3975.473774969772,124.04051948051949,54.45454545454545,476ccbc833c5,8a13a7e27236,87.08167274768454,0.008688651595730512,784-1024-1024-10,True,1.251916463393718,infer,60000,"{""profile"": true}",217.162941,0,0.0,120000000,9408000000,46.420154,0.0,23726.230383,,0,15393.591417,8069.055871,2650,0.0,0.0,0.0,0,0.0,16621.986751,23833.065331,47926.52046235649,1,,,11.981630115589123,,,16,2026-09-04T01:44:09+00:00,0.1.0,mnist
syclnn,1,auto,True,Clang 22.1.0 /opt/sycl/bin/clang++,NVIDIA GeForce GTX 1080 Ti,gpu,CUDA 13.0,float,1.4024193333333335,0.0,0.6341353333333333,0.0,8.157419666666666,6.101691933333333,0.01917306666666667,0.0,0.0,0.0,0.0,0.004810066666666667,20.055469000000002,3,0.0008931414481494895,0.0010171888715035853,189165a3ebfc25a50f6c29f2ff77fabb0e5ef554,v0.2.0-4-gb5c4569,17.810625347894383,88.065,6.0,a025193bac5c,078db2ae8b4b,0.3673469387755102,6.896932609379292e-05,17-4-1,True,0.019992353996106733,infer,124,"{""profile"": true}",21.03629,0,0.0,7440,126480,9.51203,0.0,122.361295,,0,91.525379,0.287596,9315,0.0,0.0,0.0,0,0.0,0.072151,300.832035,6202.371167704788,1,,,6202.371167704788,,,16,2026-09-04T04:35:47+00:00,0.2.0,monk
syclnn,124,auto,True,Clang 22.1.0 /opt/sycl/bin/clang++,NVIDIA GeForce GTX 1080 Ti,gpu,CUDA 13.0,float,0.01192148,0.0,0.00534968,0.0,0.07543852000000001,0.04299556,0.0151718,0.0,0.0,0.0,0.0,0.00411336,0.21767716,5,0.06885408771142006,0.07841715544911729,189165a3ebfc25a50f6c29f2ff77fabb0e5ef554,v0.2.0-4-gb5c4569,,,,a025193bac5c,a1e884cf40d3,1.354368932038835,6.637803744524696e-06,17-4-1,True,0.0002593310084193945,infer,124,"{""profile"": true}",0.298037,0,0.0,12400,210800,0.133742,0.0,1.885963,,0,1.074889,0.379295,150,0.0,0.0,0.0,0,0.0,0.102834,5.441929,478153.3868848615,1,,,3856.075700684367,,,16,2026-09-04T04:35:47+00:00,0.2.0,monk
syclnn,1,auto,True,Clang 22.1.0 /opt/sycl/bin/clang++,NVIDIA GeForce GTX 1080 Ti,gpu,CUDA 13.0,double,1.5520812,0.0,0.7160883333333333,0.0,8.456227533333333,6.166373733333333,0.021684266666666667,0.0,0.0,0.0,0.0,0.012405533333333333,20.3691334,3,0.0009019637714763249,0.0010272365175147033,189165a3ebfc25a50f6c29f2ff77fabb0e5ef554,v0.2.0-4-gb5c4569,17.658130878973754,87.28,8.5,a025193bac5c,ae3bea19c033,0.1836734693877551,2.9037357307970524e-05,17-4-1,True,0.019796804001089185,infer,124,"{""profile"": true}",23.281218,0,0.0,14880,252960,10.741325,0.0,126.843413,,0,92.495606,0.325264,9315,0.0,0.0,0.0,0,0.0,0.186083,305.537001,6263.637301918923,1,,,6263.637301918923,,,16,2026-09-04T04:35:47+00:00,0.2.0,monk
syclnn,124,auto,True,Clang 22.1.0 /opt/sycl/bin/clang++,NVIDIA GeForce GTX 1080 Ti,gpu,CUDA 13.0,double,0.014223600000000001,0.0,0.006517039999999999,0.0,0.08369504,0.046591839999999995,0.016362559999999998,0.0,0.0,0.0,0.0,0.00421944,0.23283448,5,0.06425416088569288,0.07317834989759466,189165a3ebfc25a50f6c29f2ff77fabb0e5ef554,v0.2.0-4-gb5c4569,,,,a025193bac5c,b2ddf77b0c6d,0.6771844660194175,1.2270058505236994e-06,17-4-1,True,0.0002778964000754058,infer,124,"{""profile"": true}",0.35559,0,0.0,24800,421600,0.162926,0.0,2.092376,,0,1.164796,0.409064,150,0.0,0.0,0.0,0,0.0,0.105486,5.820862,446209.4505950894,1,,,3598.4633112507213,,,16,2026-09-04T04:35:47+00:00,0.2.0,monk
